Title,Company,Location,Country,Date_Posted,Job_URL
Surface Facilities Assurance (Supervisor - Manager - Sr Manager)  - Project Management,Halliburton,"Houston, TX , United States",United States,2026-03-24,https://careers.halliburton.com/en/job/houston/surface-facilities-assurance-supervisor-manager-sr-manager-project-management/543/93155568528
Brazil - Rio de Janeiro - Macaé: Especialista de serviços elevação artificial - Artificial Lift,Halliburton,"Macaé, Rio de Janeiro , Brazil",Brazil,2026-03-24,https://careers.halliburton.com/en/job/macae/brazil-rio-de-janeiro-macae-especialista-de-servicos-elevacao-artificial-artificial-lift/543/93149581584
"Ciudad del Carmen, Campeche - Becario Administrativo",Halliburton,"Ciudad del Carmen, Campeche , Mexico",Mexico,2026-02-16,https://careers.halliburton.com/en/job/ciudad-del-carmen/ciudad-del-carmen-campeche-becario-administrativo/543/91799405072
Sr. Completion Engineer - Completion Tools,Halliburton,"Stavanger, Rogaland , Norway",Norway,2026-03-24,https://careers.halliburton.com/en/job/stavanger/sr-completion-engineer-completion-tools/543/93149581664
Drilling Development Manager (GenAI Products - Technical) - Landmark,Halliburton,"Houston, TX , United States",United States,2026-03-24,https://careers.halliburton.com/en/job/houston/drilling-development-manager-genai-products-technical-landmark/543/93149581648
QA/QC Inspector - Arbroath,Halliburton,"Arbroath, Scotland , United Kingdom",United Kingdom,2026-03-24,https://careers.halliburton.com/en/job/arbroath/qa-qc-inspector-arbroath/543/91658092336
Consultant-Sr. Consultant-Principal Consultant,Halliburton,"Mumbai, Maharashtra , India",India,2026-03-24,https://careers.halliburton.com/en/job/mumbai/consultant-sr-consultant-principal-consultant/543/93149581552
Vietnam_Occupational Health and Safety or Environmental science Intern,Halliburton,"Ho Chi Minh City, Ho Chi Minh , Vietnam",Vietnam,2026-03-24,https://careers.halliburton.com/en/job/ho-chi-minh-city/vietnam-occupational-health-and-safety-or-environmental-science-intern/543/92121503152
"R&D Mechanical Engineer, Associate - R&D Mechanical Engineer",Halliburton,"Singapore, Singapore , Singapore",Singapore,2026-03-24,https://careers.halliburton.com/en/job/singapore/r-and-d-mechanical-engineer-associate-r-and-d-mechanical-engineer/543/93132183216
"LS30-ESG-Field Prof-General, L&P Seismic",Halliburton,"New Iberia, LA , United States",United States,2026-03-23,https://careers.halliburton.com/en/job/new-iberia/ls30-esg-field-prof-general-l-and-p-seismic/543/93127733008
Lead Software Architect - Power Generation,Halliburton,"Texas, US , United States",United States,2026-03-23,https://careers.halliburton.com/en/job/texas/lead-software-architect-power-generation/543/93127732944
Controls Systems Engineer - Power Generation,Halliburton,"Texas, US , United States",United States,2026-03-23,https://careers.halliburton.com/en/job/texas/controls-systems-engineer-power-generation/543/93127732896
Heavy Truck Driver - Baroid,Halliburton,"Belle Fourche, SD , United States",United States,2026-03-23,https://careers.halliburton.com/en/job/belle-fourche/heavy-truck-driver-baroid/543/93120924704
Service Supervisor I-III - Cement,Halliburton,"Lafayette, LA , United States",United States,2026-03-23,https://careers.halliburton.com/en/job/lafayette/service-supervisor-i-iii-cement/543/93116799424
Project Manager - Digital Engineering Transformation,Halliburton,"Pau, Nouvelle-Aquitaine , France",France,2026-03-23,https://careers.halliburton.com/en/job/pau/project-manager-digital-engineering-transformation/543/91939815520
"Aberdeen, United Kingdom Internship",Halliburton,"Aberdeen, Scotland , United Kingdom",United Kingdom,2026-02-23,https://careers.halliburton.com/en/job/aberdeen/aberdeen-united-kingdom-internship/543/92041794736
Associate Technical Professional -Cementing,Halliburton,"Mumbai, Maharashtra , India",India,2026-03-23,https://careers.halliburton.com/en/job/mumbai/associate-technical-professional-cementing/543/91682922992
"PL53-ESG-Logistics Specialist, Assoc",Halliburton,"Tianjin, Tianjin Municipality , China",China,2026-03-23,https://careers.halliburton.com/en/job/tianjin/pl53-esg-logistics-specialist-assoc/543/93104208448
Kwait - Ahmadi: MPD Consultant Commuter - Testing and Subsea,Halliburton,"Al Ahmadi, Al Aḩmadī , Kuwait",Kuwait,2026-03-19,https://careers.halliburton.com/en/job/al-ahmadi/kwait-ahmadi-mpd-consultant-commuter-testing-and-subsea/543/88640522688
TG06-ESG-Svc Spec II-GBA,Halliburton,"Al Ahmadi, Al Aḩmadī , Kuwait",Kuwait,2026-03-21,https://careers.halliburton.com/en/job/al-ahmadi/tg06-esg-svc-spec-ii-gba/543/93035633616
Service Operator-GBA,Halliburton,"Al Ahmadi, Al Aḩmadī , Kuwait",Kuwait,2026-03-17,https://careers.halliburton.com/en/job/al-ahmadi/service-operator-gba/543/92878864752
Suriname - Paramaribo: Materials Control Specialist Sr.,Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2026-03-21,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-materials-control-specialist-sr/543/93029996240
Suriname - Paramaribo: Materials Control Specialist,Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2026-03-21,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-materials-control-specialist/543/93029996224
Suriname - Paramaribo: Procurement Specialist Sr.,Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2026-03-21,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-procurement-specialist-sr/543/93029996208
Suriname - Paramaribo: Procurement Specialist,Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2026-03-21,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-procurement-specialist/543/93029996192
Ecuador - Francisco de Orellana - Representante de Relaciones Comunitarias,Halliburton,"Francisco de Orellana Canton, Provincia de Francisco de Orellana , Ecuador",Ecuador,2026-03-20,https://careers.halliburton.com/en/job/provincia-de-francisco-de-orellana/ecuador-francisco-de-orellana-representante-de-relaciones-comunitarias/543/91671982400
Service Specialist I-Subsea Safety Systems - Ankara,Halliburton,"Ankara, TR , Turkey",Turkey,2026-03-20,https://careers.halliburton.com/en/job/ankara/service-specialist-i-subsea-safety-systems-ankara/543/87028029072
Service Operator I-Subsea Safety Sys,Halliburton,"Ankara, TR , Turkey",Turkey,2026-03-20,https://careers.halliburton.com/en/job/ankara/service-operator-i-subsea-safety-sys/543/88335893024
FF13-ESG-Shop Leader,Halliburton,"Ankara, TR , Turkey",Turkey,2026-03-20,https://careers.halliburton.com/en/job/ankara/ff13-esg-shop-leader/543/87890331488
Ankara - Tool Tech I,Halliburton,"Ankara, TR , Turkey",Turkey,2026-03-20,https://careers.halliburton.com/en/job/ankara/ankara-tool-tech-i/543/87890331504
AR-Neuquén-Coord de Almacén y Materiales (Entry Level) - Supply Chain,Halliburton,"Neuquén, Neuquen , Argentina",Argentina,2026-03-20,https://careers.halliburton.com/en/job/neuquen/ar-neuquen-coord-de-almacen-y-materiales-entry-level-supply-chain/543/93001451632
AR-Neuquén-Coord de Almacén y Materiales (Entry Level) - 	 Supply Chain,Halliburton,"Neuquén, Neuquen , Argentina",Argentina,2026-03-20,https://careers.halliburton.com/en/job/neuquen/ar-neuquen-coord-de-almacen-y-materiales-entry-level-supply-chain/543/93001451616
Material Coordinator I - Material Coordinator III,Halliburton,"Duncan, OK , United States",United States,2026-03-20,https://careers.halliburton.com/en/job/duncan/material-coordinator-i-material-coordinator-iii/543/93001451600
Project Manager - Senior Project Manager - Landmark,Halliburton,"Houston, TX , United States",United States,2026-03-20,https://careers.halliburton.com/en/job/houston/project-manager-senior-project-manager-landmark/543/93001451584
Area Resource Specialist II,Halliburton,"Emmen, Drenthe , Netherlands",Netherlands,2026-03-20,https://careers.halliburton.com/en/job/emmen/area-resource-specialist-ii/543/92994846976
Service Supervisor I-II - Cementing,Halliburton,"Odessa, TX , United States",United States,2026-03-20,https://careers.halliburton.com/en/job/odessa/service-supervisor-i-ii-cementing/543/92994846944
Nightshift Bulk Material Operator I-II - Cement,Halliburton,"Zanesville, OH , United States",United States,2026-03-20,https://careers.halliburton.com/en/job/zanesville/nightshift-bulk-material-operator-i-ii-cement/543/92994846928
Senior Technical Instructor - Principal Technical Instructor - Maintenance,Halliburton,"Duncan, OK , United States",United States,2026-03-20,https://careers.halliburton.com/en/job/duncan/senior-technical-instructor-principal-technical-instructor-maintenance/543/92994846896
Service Operator - Completion Tools,Halliburton,"Stavanger, Rogaland , Norway",Norway,2026-03-20,https://careers.halliburton.com/en/job/stavanger/service-operator-completion-tools/543/92987758640
"Sommervikar, Vedlikeholdstekniker - Completion Tools",Halliburton,"Stavanger, Rogaland , Norway",Norway,2026-03-20,https://careers.halliburton.com/en/job/stavanger/sommervikar-vedlikeholdstekniker-completion-tools/543/92987758608
Chile - Punta Arenas:  Técnico Electrónico,Halliburton,"Punta Arenas, Region of Magallanes , Chile",Chile,2026-03-10,https://careers.halliburton.com/en/job/punta-arenas/chile-punta-arenas-tecnico-electronico/543/92612777344
