Title,Company,Location,Country,Date_Posted,Job_URL
Sr Power Systems Strategy & Market Consultant,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Sr-Power-Systems-Strategy-&-Market-Consultant/857062123/
Electrical Power Contracts Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Electrical-Power-Contracts-Engineer/857062023/
Senior Downstream Strategy & Market Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Senior-Downstream-Strategy-&-Market-Analyst/857137323/
Organization Design/Development Practitioner,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Organization-DesignDevelopment-Practitioner/857137423/
Experienced Engineer (more than three years of work experience),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/saudi/job/Experienced-Engineer-%28more-than-three-years-of-work-experience%29/856956723/
Other Graduates (less than three years of work experience),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/saudi/job/Other-Graduates-%28less-than-three-years-of-work-experience%29/766636923/
Counsel - General Corporate and Commercial Contracts,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Counsel-General-Corporate-and-Commercial-Contracts/857013023/
Process Engineer - Fluid Catalytic Cracking - Refinery Experience Only,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Process-Engineer-Fluid-Catalytic-Cracking-Refinery-Experience-Only/855867223/
Experienced Other (more than three years of work experience),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/saudi/job/Experienced-Other-%28more-than-three-years-of-work-experience%29/856957023/
Senior Corporate Strategy Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Senior-Corporate-Strategy-Advisor/856748923/
Experienced IT (more than three years of work experience),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/saudi/job/Experienced-IT-%28more-than-three-years-of-work-experience%29/856956923/
Assistant to Director,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Assistant-to-Director/766671423/
Metering Engineer - Refinery Experience Only,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Metering-Engineer-Refinery-Experience-Only/855916623/
Experienced Business (more than three years of work experience),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/saudi/job/Experienced-Business-%28more-than-three-years-of-work-experience%29/856957123/
Greenhouse Gas Management and Decarbonization Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Greenhouse-Gas-Management-and-Decarbonization-Specialist/857088123/
Oilfield Microbiology Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Oilfield-Microbiology-Specialist/857060923/
Occupational Health Consultant,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Occupational-Health-Consultant/857088023/
Pilot Plant Process Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Pilot-Plant-Process-Engineer/857061123/
Contracts Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Contracts-Advisor/857061023/
MV Switchgear Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/MV-Switchgear-Specialist/857087323/
Process Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Process-Engineer/857087723/
Communications Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Communications-Specialist/857087523/
Enterprise Risk Management Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Enterprise-Risk-Management-Specialist/857044623/
Financial Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Financial-Specialist/857040523/
Data Scientist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Data-Scientist/857087823/
